Sample ID	Read count	Read length	Initial coverage estimate	Read count2	Num reads mapped	Percentage Mapped	Initial Bam Coverage	Initial Bam STDEV	Num reads duplicated	Percentage duplicated	Markdup coverage	Markdup STDEV	VCF coverage	VCF STDEV
Assamensis	1231654664	126	47	1250048687	780290921	62.42084241	21.9504	46.6209	111619837	8.92923917	21.0025	41.5121	47.2136	36.0059
Arctoides-1	1001034260	101	31	1009889302	613256903	60.72516085	14.9647	35.8989	69955671	6.927063279	14.2767	31.0038	31.1149	23.3435
Arctoides-2	471805366	126	18	493978081	330054041	66.81552354	8.55671	30.5255	44267421	8.961414019	8.35445	26.7587	19.1474	19.4368
Mulatta-2	3299851568	45	57	3312483932	1752158958	52.89562135	24.2148	60.8765	387839881	11.70843056	21.2893	52.0038	43.4295	30.5846
Mulatta-1	706459956	50	10	706465735	378273732	53.5445264	4.57638	36.881	59660520	8.444927623	4.36167	29.5793	8.66336	13.9151
mulatta	311203360	45	4	311203360	162004324	52.05738267	1.90596	25.005	20311038	6.526612695	1.82964	20.0357	4.02831	12.8233
fascicularis	3692987634	45	63	3703295334	1939809027	52.38061921	26.7869	65.7799	637819095	17.22301457	20.8019	52.5122	32.0124	20.8328
M-Arctoides	656978010	101	0	656978010	409911499	62.39348848	9.29039	31.1803	54154477	8.242966458	8.86337	27.7735	19.138	19.8059
M-Assamensis	834133746	101	0	834133746	385580019	46.22520319	6.7193	36.6858	65402315	7.8407468	6.31945	31.2005	13.3644	27.2626
M-Thibetana	1287914270	101	0	1287914270	780086295	60.56973769	15.9837	47.3345	132382233	10.27880784	14.8159	37.9486	25.6008	16.3121
