Gene stable ID	Gene stable ID version	Human gene name	Mouse gene name	Gene name
ENSMMUG00000028704	ENSMMUG00000028704.1			
ENSMMUG00000028703	ENSMMUG00000028703.1			
ENSMMUG00000028702	ENSMMUG00000028702.1			
ENSMMUG00000028701	ENSMMUG00000028701.1			
ENSMMUG00000028700	ENSMMUG00000028700.1			
ENSMMUG00000028699	ENSMMUG00000028699.2	MT-ND1	mt-Nd1	MT-ND1
ENSMMUG00000028698	ENSMMUG00000028698.1			
ENSMMUG00000028697	ENSMMUG00000028697.1			
ENSMMUG00000028696	ENSMMUG00000028696.1			
ENSMMUG00000028695	ENSMMUG00000028695.2	MT-ND2	mt-Nd2	MT-ND2
ENSMMUG00000028694	ENSMMUG00000028694.1			
ENSMMUG00000028693	ENSMMUG00000028693.1			
ENSMMUG00000028692	ENSMMUG00000028692.1			
ENSMMUG00000028691	ENSMMUG00000028691.1			
ENSMMUG00000028690	ENSMMUG00000028690.1			
ENSMMUG00000028689	ENSMMUG00000028689.2	MT-CO1	mt-Co1	MT-CO1
ENSMMUG00000028688	ENSMMUG00000028688.1			
ENSMMUG00000028687	ENSMMUG00000028687.1			
ENSMMUG00000028686	ENSMMUG00000028686.1	MT-CO2	mt-Co2	MT-CO2
ENSMMUG00000028685	ENSMMUG00000028685.1			
ENSMMUG00000028684	ENSMMUG00000028684.1	MT-ATP8	mt-Atp8	MT-ATP8
ENSMMUG00000028683	ENSMMUG00000028683.1	MT-ATP6	mt-Atp6	MT-ATP6
ENSMMUG00000028682	ENSMMUG00000028682.1	MT-CO3	mt-Co3	MT-CO3
ENSMMUG00000028681	ENSMMUG00000028681.1			
ENSMMUG00000028680	ENSMMUG00000028680.1	MT-ND3	mt-Nd3	MT-ND3
ENSMMUG00000028679	ENSMMUG00000028679.1			
ENSMMUG00000028678	ENSMMUG00000028678.1	MT-ND4L	mt-Nd4l	ND4L
ENSMMUG00000028677	ENSMMUG00000028677.1	MT-ND4	mt-Nd4	MT-ND4
ENSMMUG00000028676	ENSMMUG00000028676.1			
ENSMMUG00000028675	ENSMMUG00000028675.1			
ENSMMUG00000028674	ENSMMUG00000028674.1			
ENSMMUG00000028673	ENSMMUG00000028673.1	MT-ND5	mt-Nd5	MT-ND5
ENSMMUG00000028672	ENSMMUG00000028672.1	MT-ND6	mt-Nd6	MT-ND6
ENSMMUG00000028671	ENSMMUG00000028671.1			
ENSMMUG00000028670	ENSMMUG00000028670.1	MT-CYB	mt-Cytb	CYTB
ENSMMUG00000028669	ENSMMUG00000028669.1			
ENSMMUG00000028668	ENSMMUG00000028668.1			
ENSMMUG00000039891	ENSMMUG00000039891.1			
ENSMMUG00000011762	ENSMMUG00000011762.3			
ENSMMUG00000049037	ENSMMUG00000049037.1	SLC39A3	Slc39a3	
ENSMMUG00000013707	ENSMMUG00000013707.3	HSPH1	Hsph1	HSPH1
ENSMMUG00000042043	ENSMMUG00000042043.1			
ENSMMUG00000047177	ENSMMUG00000047177.1		Gm40460	
ENSMMUG00000047177	ENSMMUG00000047177.1		Krtap5-2	
ENSMMUG00000047177	ENSMMUG00000047177.1		Gm45618	
ENSMMUG00000047177	ENSMMUG00000047177.1		Gm4559	
ENSMMUG00000048224	ENSMMUG00000048224.1			
ENSMMUG00000041803	ENSMMUG00000041803.1	KRTAP4-2	Krtap4-16	
ENSMMUG00000041803	ENSMMUG00000041803.1	KRTAP4-2	Gm40460	
ENSMMUG00000041803	ENSMMUG00000041803.1	KRTAP4-2	Krtap5-2	
ENSMMUG00000041803	ENSMMUG00000041803.1	KRTAP4-2	Gm45618	
ENSMMUG00000041803	ENSMMUG00000041803.1	KRTAP4-2	Gm4559	
ENSMMUG00000006615	ENSMMUG00000006615.3	YPEL5	Ypel5	YPEL5
