scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr1,20431,47232,34579,729,434,1.309,28.2812,-0.9115,-0.4279,-0.2357
chr1,35821,62414,49312,792,430,3.7674,18.8507,-0.6669,-0.2483,-0.152
chr1,53783,68064,60559,341,184,2.5833,6.2569,-0.4156,-0.1213,-0.0803
chr1,59365,77839,68382,463,265,3.1806,15.125,-0.6525,-0.2639,-0.1572
chr1,68275,84439,75167,339,186,2.6042,12.5486,-0.6563,-0.3121,-0.1926
chr1,92477,106905,100550,288,147,0.0,9.4861,-1.0,-0.4405,-0.2598
chr1,111733,123310,119374,132,91,0.3634,6.8912,-0.8998,-0.3673,-0.2187
chr1,115995,160534,139879,928,530,1.8565,43.9398,-0.9189,-0.4464,-0.2578
chr1,168833,181671,176048,443,279,3.5,37.9306,-0.831,-0.7323,-0.3412
chr1,176001,211769,187732,699,426,1.25,73.2639,-0.9664,-0.938,-0.438
chr1,254980,265070,259104,218,119,0.2292,13.8542,-0.9675,-0.9953,-0.4697
chr1,256051,266134,259864,180,99,0.1667,9.9028,-0.9669,-0.8505,-0.4357
chr1,270965,298599,287285,410,267,4.2986,8.9653,-0.3518,-0.1274,-0.0722
chr1,293285,306681,299416,398,243,3.6389,8.4306,-0.397,-0.1509,-0.0811
chr1,307045,329321,317168,439,252,0.7118,19.4688,-0.9295,-0.4023,-0.2467
chr1,323118,334103,329801,247,128,0.309,4.4688,-0.8706,-0.1954,-0.1148
chr1,333522,348073,339784,381,193,4.6215,5.2326,-0.062,-0.0198,-0.0131
chr1,343275,371747,357146,479,279,6.4896,4.4896,0.1822,0.06,0.032
chr1,371080,388914,381842,417,269,6.2188,6.4479,-0.0181,-0.0058,-0.0035
chr1,380919,404380,392585,618,389,7.7118,15.2812,-0.3292,-0.1222,-0.0784
chr1,395214,407770,400798,340,205,3.8056,14.3889,-0.5817,-0.3041,-0.185
chr1,395794,417913,405760,508,292,3.625,18.6528,-0.6746,-0.2794,-0.1787
chr1,411045,425639,418399,390,226,0.875,18.5,-0.9097,-0.5079,-0.2555
chr1,421843,444832,433054,604,360,1.1042,27.0972,-0.9217,-0.4573,-0.2234
chr1,437079,452781,442714,285,175,0.7083,12.4514,-0.8923,-0.3772,-0.2144
chr1,477509,501506,490002,278,175,0.1667,16.2639,-0.9797,-0.4668,-0.2704
chr1,497063,508589,502963,170,102,0.0208,8.375,-0.995,-0.5335,-0.2908
chr1,506194,521287,513344,465,239,1.6285,17.4479,-0.8293,-0.5393,-0.2899
chr1,564143,596870,583214,611,359,12.2292,15.5278,-0.1188,-0.0287,-0.0218
chr1,587551,602514,595157,327,204,5.5208,13.4792,-0.4189,-0.1938,-0.1305
chr1,593687,638435,611809,639,429,6.1406,18.7448,-0.5065,-0.265,-0.1472
chr1,649489,660170,654984,200,132,1.3472,7.0,-0.6772,-0.353,-0.1907
chr1,666589,691388,680582,487,299,1.9167,30.0556,-0.8801,-0.6246,-0.3299
chr1,682480,695533,688879,280,162,0.3264,16.6528,-0.9616,-0.6072,-0.3191
chr1,713203,766690,737345,594,372,2.0208,29.0,-0.8697,-0.5597,-0.2572
chr1,763449,788368,774345,499,299,0.5833,72.2917,-0.984,-1.5729,-0.5661
chr1,797573,924917,857359,856,509,0.1094,108.0469,-0.998,-1.3863,-0.5362
chr1,941701,954145,949771,282,188,1.6667,29.8333,-0.8942,-0.6649,-0.3364
chr1,944442,956096,950669,327,211,1.6667,40.3333,-0.9206,-0.8697,-0.3994
chr1,949113,1023454,981913,1417,789,2.6528,129.5833,-0.9599,-1.0519,-0.4298
chr1,1049287,1064518,1056350,353,214,3.9167,8.125,-0.3495,-0.1268,-0.073
chr1,1080482,1241570,1162518,3036,1710,14.0764,74.9444,-0.6838,-0.2131,-0.1453
chr1,1276620,1366322,1324712,1548,954,1.4583,67.8194,-0.9579,-0.2882,-0.1744
chr1,1402565,1452126,1426131,751,432,3.3333,23.7083,-0.7535,-0.1846,-0.1145
