GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	nt_length	aa_length
ENSMMUG00000022888.3	ENSMMUG00000022888.3	ENSMMUT00000022491.2	protein_coding	0	11	9	549	0	0	0	67	0	441	9	0	0	0	5	0	0	0	0	7	45	37811	263
ENSMMUG00000022888.3	ENSMMUG00000022888.3	ENSMMUT00000032216.2	protein_coding	0	52	27	1710	0	0	0	138	0	1534	27	0	0	0	9	0	0	0	0	45	45	113470	911
ENSMMUG00000022888.3	ENSMMUG00000022888.3	ENSMMUT00000047628.2	protein_coding	0	86	48	2277	23	5	25	192	0	1909	48	0	0	0	16	0	0	0	0	71	138	136066	1427
ENSMMUG00000022888.3	ENSMMUG00000022888.3	ENSMMUT00000066681.1	protein_coding	0	87	47	2278	23	6	32	192	0	1903	47	0	0	0	16	0	0	0	0	71	138	136066	1427
ENSMMUG00000023277.3	ENSMMUG00000023277.3	ENSMMUT00000032746.3	protein_coding	0	25	15	447	0	0	0	53	0	315	15	0	0	0	6	0	0	0	0	23	81	80933	914
ENSMMUG00000023277.3	ENSMMUG00000023277.3	ENSMMUT00000032747.3	protein_coding	0	22	14	451	0	0	0	53	0	318	14	0	0	0	5	0	0	0	0	21	81	80877	749
ENSMMUG00000023277.3	ENSMMUG00000023277.3	ENSMMUT00000059653.1	protein_coding	0	19	7	496	2	5	28	55	0	324	7	0	0	0	5	0	0	0	0	12	89	81940	567
ENSMMUG00000023277.3	ENSMMUG00000023277.3	ENSMMUT00000069187.1	protein_coding	0	25	18	444	0	0	0	53	0	312	18	0	0	0	6	0	0	0	0	23	81	80933	979
ENSMMUG00000022763.2	ENSMMUG00000022763.2	ENSMMUT00000032032.2	protein_coding	0	11	3	122	15	3	6	56	0	2	3	0	0	0	0	0	0	0	0	8	43	2640	324
ENSMMUG00000000645.2	ENSMMUG00000000645.2	ENSMMUT00000000931.2	protein_coding	0	6	1	449	0	0	0	49	0	353	1	0	0	0	1	0	0	0	0	5	48	52347	356
ENSMMUG00000000645.2	ENSMMUG00000000645.2	ENSMMUT00000062060.1	protein_coding	0	6	1	442	39	0	0	16	0	336	1	0	0	0	1	0	0	0	0	5	52	55138	277
ENSMMUG00000000645.2	ENSMMUG00000000645.2	ENSMMUT00000069574.1	protein_coding	0	4	1	451	0	0	0	49	0	355	1	0	0	0	1	0	0	0	0	3	48	52323	307
ENSMMUG00000006819.3	ENSMMUG00000006819.3	ENSMMUT00000009536.3	protein_coding	0	23	32	795	0	1	2	23	0	738	32	0	0	0	7	0	0	0	0	16	38	134464	1436
ENSMMUG00000006819.3	ENSMMUG00000006819.3	ENSMMUT00000046735.2	protein_coding	0	22	32	787	0	0	0	23	0	691	32	0	0	0	7	0	0	0	0	16	79	130859	1429
ENSMMUG00000007180.3	ENSMMUG00000007180.3	ENSMMUT00000010026.3	protein_coding	0	22	34	559	2	1	8	30	0	495	34	0	0	0	1	0	0	0	0	20	24	98256	1412
ENSMMUG00000016301.3	ENSMMUG00000016301.3	ENSMMUT00000022895.3	protein_coding	0	12	1	138	0	0	0	15	0	107	1	0	0	0	4	0	0	0	0	10	18	28949	628
ENSMMUG00000009096.2	ENSMMUG00000009096.2	ENSMMUT00000012725.2	protein_coding	0	8	3	171	0	0	0	43	0	103	3	0	0	0	1	0	0	0	0	7	26	11737	584
