scaffold,start,end,mid,sites,pi_Arctoides,pi_Sinica,pi_Nemestrina,pi_Fascicularis,dxy_Arctoides_Sinica,dxy_Arctoides_Nemestrina,dxy_Arctoides_Fascicularis,dxy_Sinica_Nemestrina,dxy_Sinica_Fascicularis,dxy_Nemestrina_Fascicularis,Fst_Arctoides_Sinica,Fst_Arctoides_Nemestrina,Fst_Arctoides_Fascicularis,Fst_Sinica_Nemestrina,Fst_Sinica_Fascicularis,Fst_Nemestrina_Fascicularis
chr1,20431,47232,34579,729,0.0773,0.0972,0.1354,0.0961,0.1301,0.2409,0.2132,0.2384,0.2056,0.2368,0.2113,0.4084,0.4312,0.3639,0.373,0.3612
chr1,35821,62414,49312,792,0.0875,0.0728,0.1591,0.081,0.1192,0.2498,0.1759,0.2339,0.1532,0.2436,0.2099,0.3588,0.366,0.3568,0.3419,0.3627
chr1,53783,68064,60559,341,0.0695,0.098,0.1622,0.0818,0.1373,0.247,0.1762,0.2353,0.1592,0.2384,0.2588,0.3817,0.4092,0.3061,0.2917,0.3455
chr1,59365,77839,68382,463,0.0399,0.1139,0.1543,0.0875,0.1426,0.2552,0.1893,0.248,0.1748,0.2283,0.318,0.4706,0.4968,0.3166,0.2832,0.328
chr1,68275,84439,75167,339,0.0176,0.1087,0.1629,0.0949,0.1288,0.2724,0.1784,0.2524,0.1582,0.233,0.3615,0.524,0.5105,0.3189,0.2279,0.307
chr1,92477,106905,100550,288,0.0639,0.0619,0.1703,0.0848,0.1171,0.2417,0.1828,0.1934,0.1224,0.2019,0.3199,0.3674,0.4301,0.2666,0.2565,0.2441
chr1,111733,123310,119374,132,0.0564,0.1082,0.1204,0.1263,0.1681,0.2584,0.2692,0.2392,0.2268,0.2397,0.3623,0.5119,0.4933,0.3734,0.3277,0.3316
chr1,115995,160534,139879,928,0.0522,0.0819,0.1425,0.1141,0.1342,0.2521,0.2436,0.2297,0.204,0.2422,0.3533,0.4645,0.4915,0.3636,0.3579,0.3224
chr1,168833,181671,176048,443,0.1052,0.0727,0.1383,0.1205,0.1363,0.2947,0.2918,0.2735,0.2679,0.2661,0.2249,0.4365,0.453,0.4647,0.4746,0.3601
chr1,176001,211769,187732,699,0.046,0.053,0.1321,0.1188,0.1146,0.3139,0.317,0.2626,0.2489,0.24,0.4177,0.5793,0.5855,0.5004,0.4868,0.3266
chr1,254980,265070,259104,218,0.0612,0.0578,0.1286,0.1299,0.0724,0.263,0.2444,0.2466,0.2123,0.2474,0.1055,0.4914,0.4386,0.4732,0.3869,0.3251
chr1,256051,266134,259864,180,0.0598,0.0554,0.1121,0.1363,0.0714,0.2558,0.2375,0.2301,0.2012,0.2431,0.1159,0.5188,0.4154,0.488,0.3536,0.3325
chr1,270965,298599,287285,410,0.125,0.0671,0.1174,0.1224,0.159,0.2384,0.2208,0.1965,0.1775,0.2375,0.2633,0.3452,0.2931,0.3814,0.3067,0.3403
chr1,293285,306681,299416,398,0.0636,0.0458,0.1328,0.1311,0.1257,0.2769,0.1752,0.2631,0.1536,0.2794,0.4143,0.498,0.2866,0.5149,0.2665,0.371
chr1,307045,329321,317168,439,0.0621,0.0723,0.1539,0.0775,0.1219,0.2705,0.2281,0.2356,0.1775,0.2414,0.3076,0.4508,0.541,0.3714,0.4185,0.3757
chr1,323118,334103,329801,247,0.0784,0.086,0.1535,0.0846,0.1498,0.2173,0.2136,0.1941,0.1526,0.2102,0.3098,0.3229,0.4595,0.253,0.2941,0.2964
chr1,333522,348073,339784,381,0.0555,0.0841,0.1647,0.0994,0.1259,0.2616,0.1597,0.2295,0.1334,0.2479,0.3051,0.4289,0.3499,0.3157,0.1915,0.3242
chr1,343275,371747,357146,479,0.0637,0.0827,0.1497,0.0988,0.1466,0.2172,0.146,0.2202,0.163,0.2175,0.3537,0.3609,0.2896,0.3279,0.293,0.2896
chr1,371080,388914,381842,417,0.0738,0.117,0.1189,0.113,0.1762,0.2645,0.1885,0.2744,0.2,0.2768,0.316,0.4877,0.3428,0.4196,0.2811,0.4234
chr1,380919,404380,392585,618,0.0654,0.0855,0.1279,0.1039,0.1392,0.2668,0.1974,0.2484,0.1803,0.2765,0.3155,0.4898,0.4051,0.4199,0.3198,0.4259
chr1,395214,407770,400798,340,0.0535,0.0609,0.138,0.1031,0.1125,0.2862,0.215,0.2565,0.1787,0.2904,0.345,0.5204,0.4683,0.4626,0.3748,0.4315
chr1,395794,417913,405760,508,0.0449,0.0586,0.1526,0.0975,0.1054,0.2779,0.2103,0.2546,0.1843,0.2888,0.3612,0.4973,0.4946,0.4348,0.4094,0.4162
chr1,411045,425639,418399,390,0.0321,0.046,0.158,0.1206,0.0992,0.2865,0.2071,0.2906,0.2019,0.3087,0.4564,0.5235,0.4548,0.5021,0.4139,0.3955
chr1,421843,444832,433054,604,0.0315,0.0399,0.1427,0.1227,0.1248,0.2743,0.2101,0.2891,0.2019,0.2852,0.5765,0.5395,0.4562,0.5416,0.4218,0.3798
chr1,437079,452781,442714,285,0.04,0.0735,0.1154,0.1184,0.129,0.2436,0.2254,0.2328,0.2125,0.2458,0.4098,0.538,0.4763,0.4441,0.3827,0.3673
chr1,477509,501506,490002,278,0.0863,0.1029,0.1347,0.047,0.141,0.2851,0.2582,0.274,0.2484,0.2616,0.2112,0.4629,0.6129,0.416,0.5631,0.5156
chr1,497063,508589,502963,170,0.0556,0.0917,0.1376,0.0891,0.1143,0.2522,0.2529,0.2465,0.241,0.2366,0.2315,0.4677,0.5603,0.3854,0.4681,0.3716
